ButtonYes,Yes
ButtonNo,No
ButtonOK,OK
ButtonCancel,Cancel
ButtonClose,Close
ButtonMove,Move
ButtonShowMonsters,Show Monsters
ButtonShowCrops,Show Crops
ButtonSave,Save
ButtonLoad,Load
ButtonNew,New
ButtonQuit,Quit
ButtonExit,Exit
ButtonReset,Reset
ButtonHire,Hire
ButtonReroll,Reroll
ButtonCreateHero,Create Hero
ButtonQuitToTitle,Quit to Title
ButtonActivateStencil,Activate Stencil
ButtonViewStencils,View Stencils
ButtonMoveStencils,Move Stencils
ButtonRemoveStencil,Remove Stencil
ButtonExitMoveMode,Exit Move Mode
ButtonExitRemoveMode,Exit Remove Mode
ButtonReplenish,Replenish
ButtonFastForward,Fast Forward
ButtonStopAdventuring,Stop Adventuring
ButtonContinueAdventuring,Continue Adventuring
ButtonFarm,Farm
ButtonFarmTill,Till
ButtonFarmSeeds,Seeds
ButtonFarmBuildings,Buildings
ButtonFarmDestroyCrops,Remove Crops
ButtonFarmHarvestedCrops,Harvested Crops
ButtonConstruction,Construction
ButtonFarmIrrigation,Irrigation
ButtonFarmRestoreGrass,Restore Grass
ButtonFarmRefrigerator,Refrigerator
HarvestCropApple,Apple
HarvestCropCorn,Corn
HarvestCropEggplant,Eggplant
HarvestCropGrapes,Grapes
HarvestCropLettuce,Lettuce
HarvestCropOnion,Onion
HarvestCropPotato,Potato
HarvestCropPumpkin,Pumpkin
HarvestCropSugarcane,Sugarcane
HarvestCropTomato,Tomato
HarvestCropTurnip,Turnip
HarvestCropWatermelon,Watermelon
HarvestCropWheat,Wheat
CropNameAppleTree,Apple Tree
CropNameCorn,Corn
CropNameEggplant,Eggplant
CropNameGrapes,Grapes
CropNameLettuce,Lettuce
CropNameOnion,Onion
CropNamePotato,Potato
CropNamePumpkin,Pumpkin
CropNameSugarcane,Sugarcane
CropNameTomato,Tomato
CropNameTurnip,Turnip
CropNameWatermelon,Watermelon
CropNameWheat,Wheat
CropDescAppleTree,Crisp orchard apples picked from a mature tree.
CropDescCorn,Sweet golden ears, great roasted or milled.
CropDescEggplant,Glossy purple fruit with a hearty bite.
CropDescGrapes,Plump clusters prized for juice and wine.
CropDescLettuce,Crunchy leafy heads, fresh and light.
CropDescOnion,Pungent bulbs that flavor any dish.
CropDescPotato,Starchy tubers, filling and versatile.
CropDescPumpkin,Big autumn squash with a sweet flesh.
CropDescSugarcane,Fibrous stalks pressed for sweet syrup.
CropDescTomato,Juicy red fruit bursting with flavor.
